name	acronym	build	chromosome	start	end	core_start	core_end	reference	comment
T cell receptor alpha and delta	TRA	GRCh38	chr14	20621904	23552132	21621904	22552132	https://www.ncbi.nlm.nih.gov/gene?cmd=Retrieve&dopt=Graphics&list_uids=6955
T cell receptor beta	TRB	GRCh38	chr7	141299011	144545426	142299011	142813287	https://www.ncbi.nlm.nih.gov/gene?cmd=Retrieve&dopt=Graphics&list_uids=6957	chr7_KZ208912v1_fix and associated segmental duplication included
T cell receptor gamma	TRG	GRCh38	chr7	37240024	39368055	38240024	38368055	https://www.ncbi.nlm.nih.gov/gene?cmd=Retrieve&dopt=Graphics&list_uids=6965
immunoglobulin heavy chain	IGH	GRCh38	chr14	104586437	107043718	105586437	106879844	https://www.ncbi.nlm.nih.gov/gene?Db=gene&Cmd=ShowDetailView&TermToSearch=3492	Flanking sequence limited by chromosome length
immunoglobulin kappa locus	IGK	GRCh38	chr2	86154402	91235368	88857361	90235368	https://www.ncbi.nlm.nih.gov/gene?cmd=Retrieve&dopt=Graphics&list_uids=50802	Nearby segmental duplications included
immunoglobulin lambda locus	IGL	GRCh38	chr22	19641037	23922913	22026076	22922913	https://www.ncbi.nlm.nih.gov/gene?Db=gene&Cmd=ShowDetailView&TermToSearch=3535	Nearby segmental duplications included
glycophorins	GYP	GRCh38	chr4	142870864	145140854	143870864	144140854	https://www.ncbi.nlm.nih.gov/gene?cmd=retrieve&dopt=default&rn=1&list_uids=2996; https://www.ncbi.nlm.nih.gov/gene?cmd=retrieve&dopt=default&rn=1&list_uids=2993	Core range from GYPE to GYPA
human leukocyte antigen	HLA	GRCh38	chr6	28602238	34409896	29602238	33409896	"Shiina, T., Hosomichi, K., Inoko, H., & Kulski, J. K. (2009). The HLA genomic loci map: expression, interaction, diversity and disease. Journal of human genetics, 54(1), 15-39."	Core range from GABBR1 to KIFC1
interleukin 27	IL27	GRCh38	chr16	27499362	30138675	28499362	28526730	https://www.ncbi.nlm.nih.gov/gene?Db=gene&Cmd=ShowDetailView&TermToSearch=3492	Nearby segmental duplications included
killer-cell immunoglobulin-like receptor	KIR	GRCh38	chr19	53724447	55867209	54724447	54867209	"https://www.ncbi.nlm.nih.gov/gene/115653; https://www.ncbi.nlm.nih.gov/gene/3812; Carrington, M., & Norman, P. (2003). The KIR gene cluster."	Core range from 3DL3 to 3DL2
insulin	INS	GRCh38	chr11	512544	3161209	2159779	2161209	https://www.ncbi.nlm.nih.gov/gene/3630	chr11_KQ759759v1_fix included
complement factor H	CFH	GRCh38	chr1	195651878	198009725	196651878	197009725	"Cantsilieris, S., Nelson, B. J., Huddleston, J., Baker, C., Harshman, L., Penewit, K., Munson, K. M., Sorensen, M., Welch, A. E., Dang, V., Grassmann, F., Richardson, A. J., Guymer, R. H., Graves-Lindsay, T. A., Wilson, R. K., Weber, B. H. F., Baird, P. N., Allikmets, R., & Eichler, E. E. (2018). Recurrent structural variation, clustered sites of selection, and disease risk for the complement factor H ( CFH ) gene family. Proceedings of the National Academy of Sciences, 115(19), E4433�E4442. ; https://www.ncbi.nlm.nih.gov/gene/3075; https://www.ncbi.nlm.nih.gov/gene/81494"	Core range from CFH to CFHR5
